Index,Category,Technology / Concept / Term,Component / Module,Technical Definition & Architectural Role,Key Attributes & Technical Specs
17,Data Visualization,HTML5 Canvas Candlestick Engine,CLOB Charting Pane,Custom high-performance 2D canvas charting engine rendering real-time OHLCV (Open High Low Close Volume) bars and price lines.,Dynamic scale normalizer; crosshair coordinates; 1m/5m/15m/1h/1D timeframe intervals
18,Trading Interface,Level 2 (L2) Order Book,CLOB Depth Ladder,Live visual orderbook displaying active Bid and Ask limits with proportional depth bars and real-time spread calculations.,Real-time spread-meter; ask depth (red); bid depth (green); size aggregation
19,Artificial Intelligence,Autonomous AI Alpha Execution Agent,AI Alpha Pane,Machine learning-inspired market-making agent monitoring orderbook micro-slippage and generating high-confidence arbitrage signals.,94.2% Alpha confidence metric; +1.42% arbitrage spread detection; autonomous dispatch
20,DeFi Infrastructure,Deep Liquidity Reserve Pools,CLOB Reserve Pane,Real-time automated market liquidity tracking showing Total Value Locked (TVL) pool reserve balances and base/quote ratios.,$248.6M TVL; 14.8% APY; dual-asset liquidity reserve ratio track
21,Audio Synthesis,Web Audio API Synthesizer,Interactive Audio Layer,Procedural client-side audio oscillator generating tactile sound effects for detonations shatters orders and cryptographic validations.,AudioContext; createOscillator; frequency modulation (sawtooth square sine triangle)
22,Animation Engine,GSAP (GreenSock Animation Platform),UI Interaction & Shatter,Physics-based animation library driving UI micro-interactions elastic camera shakes and file-preview shatter particle explosions.,gsap.to(); gsap.fromTo(); cubic-bezier curves; back-out springs
23,Security & Auditing,Security Sentinel Dashboard,Threat Defense Center,Real-time monitoring hub aggregating firewall status threat intelligence metrics and smart contract vulnerability analysis.,Live network anomaly scanning; gas exhaustion guards; risk scoring engine
24,AI Defense,Poison AI & Adversarial Prompt Firewall,Security Sentinel,Semantic filtering engine detecting prompt injection model jailbreaks and adversarial input vectors attacking LLM agents.,Token anomaly detection; prompt sanitization; behavioral boundaries
25,Smart Contract Security,Trojan Bots & Malicious Bytecode Detector,Security Sentinel,Static analysis engine inspecting Move packages for reentrancy vectors unconstrained capability leaks and flash loan drain traps.,Move bytecode disassembler; call-graph analysis; capability privilege audit
26,AI NLP Parsing,IntentParser Engine,Move Compiler Workspace,Natural language compiler converting conversational human financial intents into valid structured Move PTB commands.,Lexical parsing; token classification; multi-step transaction command synthesis
27,Visual Programming,Dynamic SVG Graph Connectors,Move Compiler Workspace,Interactive visual programming workspace connecting Inputs Guardrails Commands and Outputs via dynamic cubic Bezier curves.,SVG <path>; cubic bezier calculation M x1 y1 C cx1 cy1 cx2 cy2 x2 y2; auto-redraw
28,Asset Management,QuantX Portfolio & Algorithmic Trading,Wallet & Trade Terminal,Institutional portfolio tracker and algorithmic trading window with automated rebalancing and risk-weighted allocation.,Multi-token balance accounting; PnL analytics; multi-wallet sub-account tracking
29,Web3 Auth,Biometric & Keypair Web3 Login Portal,Web3 Authentication,High-security onboarding portal supporting Web3 wallets (Sui Wallet Ethos Slush) and cryptographic keypair authentication.,Obsidian cyber styling; holographic inputs; WebAuthn integration readiness
30,Design System,Obsidian Cyberpunk Design Tokens,Universal Styling (theme.css),Unified luxury dark-mode design system with curated HSL colors glassmorphic cards and glowing neon accents.,Primary: #02040a; Emerald: #00ff88; Cyan: #38bdf8; Amber: #f59e0b; Rose: #f43f5e
31,Typography,Space Grotesk & JetBrains Mono,Typography Tokens,Premium Google font pairing combining a geometric grotesque for titles and a monospaced font for telemetry and code.,Variable weights 400-800; tabular numbers; high legibility for financial data
32,Backend Server,Node.js & Express.js REST Engine,Server Architecture (server.js),High-performance backend handling cryptographic blob sharding file retrieval Merkle tree calculation and static asset delivery.,express.json({ limit: 50mb }); CORS headers; modular REST API routing
33,Persistence,Physical Shard Storage & Registry,Backend Storage (data/walrus_vault),Local filesystem persistence engine storing discrete binary shards (.bin) and metadata index (blobs.json).,Binary stream I/O; hash indexing; disk synchronization; atomic writes
34,Deployment,Vercel Edge Configuration,Cloud Infrastructure (vercel.json),Cloud deployment configuration routing dynamic API calls and serving high-frequency client bundles with edge caching.,Serverless functions; rewrite rules; CDN static asset caching
35,Architecture Style,Pure Vanilla High-Performance Architecture,Core Codebase Philosophy,Zero-bloat engineering methodology relying on pure native HTML5 Vanilla JavaScript (ES6+) and CSS3 for instantaneous loads.,Zero heavy framework overhead; 60fps animations; sub-10ms DOM response
